HS 2012 Product Code,HS 2012 Product Description,HS 2007 Product Code,HS 2007 Product Description
010121,Pure-bred breeding animals,010110,Live horses/asses/mules/hinnies: pure-bred breeding animals
010129,Other,010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals
010130,Asses,010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals
010190,Other,010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals
010221,Pure-bred breeding animals,010210,Live bovine animals: pure-bred breeding animals
010229,Other,010290,Live bovine animals other than pure-bred breeding animals
010231,Pure-bred breeding animals,010210,Live bovine animals: pure-bred breeding animals
010239,Other,010290,Live bovine animals other than pure-bred breeding animals
010290,Other,010290,Live bovine animals other than pure-bred breeding animals
010310,Pure-bred breeding animals,010310,Live swine: pure-bred breeding animals
010391,Weighing less than 50 kg,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg"
010392,Weighing 50 kg or more,010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more"
010410,Sheep,010410,Live sheep
010420,Goats,010420,Live goats
010511,Fowls of the species Gallus domesticus,010511,"Live fowls of species Gallus domesticus, weighing not >185g"
010512,Turkeys,010512,"Live turkeys, weighing not >185g"
010513,Ducks,010519,"Live ducks/geese/guinea fowls, weighing not >185g"
010514,Geese,010519,"Live ducks/geese/guinea fowls, weighing not >185g"
010515,Guinea fowls,010519,"Live ducks/geese/guinea fowls, weighing not >185g"
010594,Fowls of the species Gallus domesticus,010594,"Live fowls of species Gallus domesticus, weighing > 185g"
010599,Other,010599,"Live ducks/geese/turkeys/guinea fowls, weighing >185g"
010611,Primates,010611,Live primates
010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",010612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia)
010613,Camels and other camelids (Camelidae),010619,"Live mammals, n.e.s."
010614,Rabbits and hares,010619,"Live mammals, n.e.s."
010619,Other,010619,"Live mammals, n.e.s."
010620,Reptiles (including snakes and turtles),010620,"Live reptiles, incl. snakes & turtles"
010631,Birds of prey,010631,Live birds of prey
010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010632,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos"
010633,Ostriches; emus (Dromaius novaehollandiae),010639,Live birds (excl. of 0106.31 & 0106.32)
010639,Other,010639,Live birds (excl. of 0106.31 & 0106.32)
010641,Bees,010690,"Live animals, n.e.s."
010649,Other,010690,"Live animals, n.e.s."
010690,Other,010690,"Live animals, n.e.s."
020110,Carcasses and half-carcasses,020110,"Carcasses/half-carcasses of bovine animals, fresh/chilled"
020120,Other cuts with bone in,020120,"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in"
020130,Boneless,020130,"Meat of bovine animals, fresh/chilled, boneless"
020210,Carcasses and half-carcasses,020210,"Carcasses/half-carcasses of bovine animals, frozen"
020220,Other cuts with bone in,020220,"Meat of bovine animals, frozen (excl. of 0202.10), bone-in"
020230,Boneless,020230,"Meat of bovine animals, frozen, boneless"
020311,Carcasses and half-carcasses,020311,"Carcasses/half-carcasses of swine, fresh/chilled"
020312,"Hams, shoulders and cuts thereof, with bone in",020312,"Hams, shoulders & cuts thereof , fresh/chilled, bone-in"
020319,Other,020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled"
020321,Carcasses and half-carcasses,020321,"Carcasses/half-carcasses of swine, frozen"
020322,"Hams, shoulders and cuts thereof, with bone in",020322,"Hams, shoulders & cuts thereof , frozen, bone-in"
020329,Other,020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen"
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",020410,"Carcasses/half-carcasses of lamb, fresh/chilled"
020421,Carcasses and half-carcasses,020421,"Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled"
020422,Other cuts with bone in,020422,"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in"
020423,Boneless,020423,"Meat of sheep (excl. lamb), fresh/chilled, boneless"
020430,"Carcasses and half-carcasses of lamb, frozen",020430,"Carcasses/half-carcasses of lamb, frozen"
020441,Carcasses and half-carcasses,020441,"Carcasses/half-carcasses of sheep (excl. lamb), frozen"
020442,Other cuts with bone in,020442,"Meat of sheep (excl. lamb & carcasses), frozen, bone-in"
020443,Boneless,020443,"Meat of sheep (excl. lamb), frozen, boneless"
020450,Meat of goats,020450,"Meat of goats, fresh/chilled/frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",020500,"Meat of horses/asses/mules/hinnies, fresh/chilled/frozen"
020610,"Of bovine animals, fresh or chilled",020610,"Edible offal of bovine animals, fresh/chilled"
020621,Tongues,020621,"Tongues of bovine animals, frozen"
020622,Livers,020622,"Livers of bovine animals, frozen"
020629,Other,020629,"Edible offal of bovine animals (excl. tongues & livers), frozen"
020630,"Of swine, fresh or chilled",020630,"Edible offal of swine, fresh/chilled"
020641,Livers,020641,"Livers of swine, frozen"
020649,Other,020649,"Edible offal of swine (excl. liver), frozen"
020680,"Other, fresh or chilled",020680,"Edible offal, n.e.s., fresh/chilled"
020690,"Other, frozen",020690,"Edible offal, n.e.s., frozen"
020711,"Not cut in pieces, fresh or chilled",020711,"Meat of fowls of species Gallus domesticus, not cut in pieces, fresh/chilled"
020712,"Not cut in pieces, frozen",020712,"Meat of fowls of species Gallus domesticus, not cut in pieces, frozen"
020713,"Cuts and offal, fresh or chilled",020713,"Cuts & edible offal of species Gallus domesticus, fresh/chilled"
020714,"Cuts and offal, frozen",020714,"Cuts & edible offal of species Gallus domesticus, frozen"
020724,"Not cut in pieces, fresh or chilled",020724,"Meat of turkeys, not cut in pieces, fresh/chilled"
020725,"Not cut in pieces, frozen",020725,"Meat of turkeys, not cut in pieces, frozen"
020726,"Cuts and offal, fresh or chilled",020726,"Cuts & edible offal of turkey, fresh/chilled"
020727,"Cuts and offal, frozen",020727,"Cuts & edible offal of turkey, frozen"
020741,"Not cut in pieces, fresh or chilled",020732,"Meat of ducks/geese/guinea fowls, not cut in pieces, fresh/chilled"
020742,"Not cut in pieces, frozen",020733,"Meat of ducks/geese/guinea fowls, not cut in pieces, frozen"
020743,"Fatty livers, fresh or chilled",020734,"Fatty livers of ducks/geese/guinea fowls, fresh/chilled"
020744,"Other, fresh or chilled",020735,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), fresh/chilled"
020745,"Other, frozen",020736,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), frozen"
020751,"Not cut in pieces, fresh or chilled",020732,"Meat of ducks/geese/guinea fowls, not cut in pieces, fresh/chilled"
020752,"Not cut in pieces, frozen",020733,"Meat of ducks/geese/guinea fowls, not cut in pieces, frozen"
020753,"Fatty livers, fresh or chilled",020734,"Fatty livers of ducks/geese/guinea fowls, fresh/chilled"
020754,"Other, fresh or chilled",020735,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), fresh/chilled"
020755,"Other, frozen",020736,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), frozen"
020760,Of guinea fowls,020735,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), fresh/chilled"
020810,Of rabbits or hares,020810,"Meat & edible meat offal of rabbits/hares, fresh/chilled/frozen"
020830,Of primates,020830,"Meat & edible meat offal of primates, fresh/chilled/frozen"
020840,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",020840,"Meat & edible offal of whales, dolphins & porpoises (order Cetacea); of manatees & dugongs (order Sirenia), fresh/chilled/frozen"
020850,Of reptiles (including snakes and turtles),020850,"Meat & edible offal of reptiles, incl. snakes & turtles, fresh/chilled/frozen"
020860,Of camels and other camelids (Camelidae),020890,"Meat&edible meat offal, n.e.s., fresh/chilled/frozen"
020890,Other,020890,"Meat&edible meat offal, n.e.s., fresh/chilled/frozen"
020910,Of pigs,020900,"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), fresh/chilled/frozen/salted/in brine/dried/smoked"
