HS - Combined  Product Code,HS - Combined  Product Description,HS 2017 Product Code,HS 2017 Product Description
020621,020621 --  -- Tongues,020621,"Offal, edible; of bovine animals, tongues, frozen"
020622,020622 --  -- Livers,020622,"Offal, edible; of bovine animals, livers, frozen"
020629,020629 --  -- Other,020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen"
020630,"020630 --  - Of swine, fresh or chilled",020630,"Offal, edible; of swine, fresh or chilled"
020641,020641 --  -- Livers,020641,"Offal, edible; of swine, livers, frozen"
020649,020649 --  -- Other,020649,"Offal, edible; of swine, (other than livers), frozen"
020680,"020680 --  - Other, fresh or chilled",020680,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
020690,"020690 --  - Other, frozen",020690,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen"
020711,"020711 -- (1996-) -- Not cut in pieces, fresh or chilled",020711,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled"
020712,"020712 -- (1996-) -- Not cut in pieces, frozen",020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen"
020713,"020713 -- (1996-) -- Cuts and offal, fresh or chilled",020713,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled"
020714,"020714 -- (1996-) -- Cuts and offal, frozen",020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen"
020724,"020724 -- (1996-) -- Not cut in pieces, fresh or chilled",020724,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled"
020725,"020725 -- (1996-) -- Not cut in pieces, frozen",020725,"Meat and edible offal; of turkeys, not cut in pieces, frozen"
020726,"020726 -- (1996-) -- Cuts and offal, fresh or chilled",020726,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled"
020727,"020727 -- (1996-) -- Cuts and offal, frozen",020727,"Meat and edible offal; of turkeys, cuts and offal, frozen"
020741,"020741 --  -- Not cut in pieces, fresh or chilled",020741,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled"
020742,"020742 --  -- Not cut in pieces, frozen",020742,"Meat and edible offal; of ducks, not cut in pieces, frozen"
020743,"020743 --  -- Fatty livers, fresh or chilled",020743,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled"
020744,"020744 -- (2012-) -- Other, fresh or chilled",020744,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled"
020745,"020745 -- (2012-) -- Other, frozen",020745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen"
020751,"020751 -- (2012-) -- Not cut in pieces, fresh or chilled",020751,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled"
020752,"020752 -- (2012-) -- Not cut in pieces, frozen",020752,"Meat and edible offal; of geese, not cut in pieces, frozen"
020753,"020753 -- (2012-) -- Fatty livers, fresh or chilled",020753,"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled"
020754,"020754 -- (2012-) -- Other, fresh or chilled",020754,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled"
020755,"020755 -- (2012-) -- Other, frozen",020755,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen"
020760,020760 -- (2012-) - Of guinea fowls,020760,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen"
020810,020810 --  - Of rabbits or hares,020810,"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen"
020830,020830 -- (2002-) - Of primates,020830,"Meat and edible meat offal; of primates, fresh, chilled or frozen"
020840,"020840 -- (2002-) - Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",020840,"Meat and edible meat offal; of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen"
020850,020850 -- (2002-) - Of reptiles (including snakes and turtles),020850,"Meat and edible meat offal; of reptiles (including snakes and turtles), fresh, chilled or frozen"
020860,020860 -- (2012-) - Of camels and other camelids (Camelidae),020860,"Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen"
020890,020890 --  - Other,020890,"Meat and edible meat offal; n.e.c. in chapter 2, fresh, chilled or frozen"
