HS - Combined  Product Code,HS - Combined  Product Description,HS 2012 Product Code,HS 2012 Product Description
010121,010121 -- (2012-) -- Pure-bred breeding animals,010121,Pure-bred breeding animals
010129,010129 -- (2012-) -- Other,010129,Other
010130,010130 -- (2012-) - Asses,010130,Asses
010190,010190 -- (2002-) - Other,010190,Other
010221,010221 -- (2012-) -- Pure-bred breeding animals,010221,Pure-bred breeding animals
010229,010229 -- (2012-) -- Other,010229,Other
010231,010231 -- (2012-) -- Pure-bred breeding animals,010231,Pure-bred breeding animals
010239,010239 -- (2012-) -- Other,010239,Other
010290,010290 --  - Other,010290,Other
010310,010310 --  - Pure-bred breeding animals,010310,Pure-bred breeding animals
010391,010391 --  -- Weighing less than 50 kg,010391,Weighing less than 50 kg
010392,010392 --  -- Weighing 50 kg or more,010392,Weighing 50 kg or more
010410,010410 --  - Sheep,010410,Sheep
010420,010420 --  - Goats,010420,Goats
010511,010511 --  -- Fowls of the species Gallus domesticus,010511,Fowls of the species Gallus domesticus
010512,010512 -- (1996-) -- Turkeys,010512,Turkeys
010513,010513 -- (2012-) -- Ducks,010513,Ducks
010514,010514 -- (2012-) -- Geese,010514,Geese
010515,010515 -- (2012-) -- Guinea fowls,010515,Guinea fowls
010594,010594 -- (2007-) -- Fowls of the species Gallus domesticus,010594,Fowls of the species Gallus domesticus
010599,010599 --  -- Other,010599,Other
010611,010611 -- (2002-) -- Primates,010611,Primates
010612,"010612 -- (2002-) -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,010613 -- (2012-) -- Camels and other camelids (Camelidae),010613,Camels and other camelids (Camelidae)
010614,010614 -- (2012-) -- Rabbits and hares,010614,Rabbits and hares
010619,010619 -- (2002-) -- Other,010619,Other
010620,010620 -- (2002-) - Reptiles (including snakes and turtles),010620,Reptiles (including snakes and turtles)
010631,010631 -- (2002-) -- Birds of prey,010631,Birds of prey
010632,"010632 -- (2002-) -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
010633,010633 -- (2012-) -- Ostriches; emus (Dromaius novaehollandiae),010633,Ostriches; emus (Dromaius novaehollandiae)
010639,010639 -- (2002-) -- Other,010639,Other
010641,010641 -- (2012-) -- Bees,010641,Bees
010649,010649 -- (2012-) -- Other,010649,Other
010690,010690 -- (2002-) - Other,010690,Other
020110,020110 --  - Carcases and half-carcases,020110,Carcasses and half-carcasses
020120,020120 --  - Other cuts with bone in,020120,Other cuts with bone in
020130,020130 --  - Boneless,020130,Boneless
020210,020210 --  - Carcases and half-carcases,020210,Carcasses and half-carcasses
020220,020220 --  - Other cuts with bone in,020220,Other cuts with bone in
020230,020230 --  - Boneless,020230,Boneless
020311,020311 --  -- Carcases and half-carcases,020311,Carcasses and half-carcasses
020312,"020312 --  -- Hams, shoulders and cuts thereof, with bone in",020312,"Hams, shoulders and cuts thereof, with bone in"
020319,020319 --  -- Other,020319,Other
020321,020321 --  -- Carcases and half-carcases,020321,Carcasses and half-carcasses
020322,"020322 --  -- Hams, shoulders and cuts thereof, with bone in",020322,"Hams, shoulders and cuts thereof, with bone in"
020329,020329 --  -- Other,020329,Other
020410,"020410 --  - Carcases and half-carcases of lamb, fresh or chilled",020410,"Carcasses and half-carcasses of lamb, fresh or chilled"
020421,020421 --  -- Carcases and half-carcases,020421,Carcasses and half-carcasses
020422,020422 --  -- Other cuts with bone in,020422,Other cuts with bone in
020423,020423 --  -- Boneless,020423,Boneless
020430,"020430 --  - Carcases and half-carcases of lamb, frozen",020430,"Carcasses and half-carcasses of lamb, frozen"
020441,020441 --  -- Carcases and half-carcases,020441,Carcasses and half-carcasses
020442,020442 --  -- Other cuts with bone in,020442,Other cuts with bone in
020443,020443 --  -- Boneless,020443,Boneless
020450,020450 --  - Meat of goats,020450,Meat of goats
020500,"020500 --  Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
020610,"020610 --  - Of bovine animals, fresh or chilled",020610,"Of bovine animals, fresh or chilled"
020621,020621 --  -- Tongues,020621,Tongues
020622,020622 --  -- Livers,020622,Livers
020629,020629 --  -- Other,020629,Other
020630,"020630 --  - Of swine, fresh or chilled",020630,"Of swine, fresh or chilled"
020641,020641 --  -- Livers,020641,Livers
020649,020649 --  -- Other,020649,Other
020680,"020680 --  - Other, fresh or chilled",020680,"Other, fresh or chilled"
020690,"020690 --  - Other, frozen",020690,"Other, frozen"
020711,"020711 -- (1996-) -- Not cut in pieces, fresh or chilled",020711,"Not cut in pieces, fresh or chilled"
020712,"020712 -- (1996-) -- Not cut in pieces, frozen",020712,"Not cut in pieces, frozen"
020713,"020713 -- (1996-) -- Cuts and offal, fresh or chilled",020713,"Cuts and offal, fresh or chilled"
020714,"020714 -- (1996-) -- Cuts and offal, frozen",020714,"Cuts and offal, frozen"
020724,"020724 -- (1996-) -- Not cut in pieces, fresh or chilled",020724,"Not cut in pieces, fresh or chilled"
020725,"020725 -- (1996-) -- Not cut in pieces, frozen",020725,"Not cut in pieces, frozen"
020726,"020726 -- (1996-) -- Cuts and offal, fresh or chilled",020726,"Cuts and offal, fresh or chilled"
020727,"020727 -- (1996-) -- Cuts and offal, frozen",020727,"Cuts and offal, frozen"
020741,"020741 --  -- Not cut in pieces, fresh or chilled",020741,"Not cut in pieces, fresh or chilled"
020742,"020742 --  -- Not cut in pieces, frozen",020742,"Not cut in pieces, frozen"
020743,"020743 --  -- Fatty livers, fresh or chilled",020743,"Fatty livers, fresh or chilled"
020744,"020744 -- (2012-) -- Other, fresh or chilled",020744,"Other, fresh or chilled"
020745,"020745 -- (2012-) -- Other, frozen",020745,"Other, frozen"
020751,"020751 -- (2012-) -- Not cut in pieces, fresh or chilled",020751,"Not cut in pieces, fresh or chilled"
020752,"020752 -- (2012-) -- Not cut in pieces, frozen",020752,"Not cut in pieces, frozen"
020753,"020753 -- (2012-) -- Fatty livers, fresh or chilled",020753,"Fatty livers, fresh or chilled"
020754,"020754 -- (2012-) -- Other, fresh or chilled",020754,"Other, fresh or chilled"
020755,"020755 -- (2012-) -- Other, frozen",020755,"Other, frozen"
020760,020760 -- (2012-) - Of guinea fowls,020760,Of guinea fowls
020810,020810 --  - Of rabbits or hares,020810,Of rabbits or hares
020830,020830 -- (2002-) - Of primates,020830,Of primates
